"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Ramachandrapuram,42,GEN,https://www.indiavotes.com/district/ac/272/,Chelluboyina Srinivasa Venugopalakrishna,Yuvajana Sramika Rythu Congress Party,193860,167428,86.4 %,5168,3.1%
Rampachodavaram ,53,ST,https://www.indiavotes.com/district/ac/272/,Nagulapalli Dhanalakshmi.,Yuvajana Sramika Rythu Congress Party,260370,197259,75.8 %,39206,19.9%
Raptadu,155,GEN,East Godavari,Thopudurthi Prakash Reddy,Yuvajana Sramika Rythu Congress Party,245727,200379,81.5 %,25575,12.8%
Rayachoti,128,GEN,Srikakulam,Gadikota. Srikanth Reddy.,Yuvajana Sramika Rythu Congress Party,231829,171617,74.0 %,32862,19.1%
Rayadurg,148,GEN,Visakhapatnam,Kapu Ramachandra Reddy,Yuvajana Sramika Rythu Congress Party,249593,212229,85.0 %,14049,6.6%
Razole ,45,SC,https://www.indiavotes.com/district/ac/272/,Rapaka Vara Prasada Rao,Janasena Party ,186900,148192,79.3 %,814,0.5%
Repalle,90,GEN,https://www.indiavotes.com/district/ac/272/,Anagani Satya Prasad,Telugu Desam,223709,184794,82.6 %,11555,6.3%
Salur ,13,ST,https://www.indiavotes.com/district/ac/272/,Peedika. Rajanna Dora,Yuvajana Sramika Rythu Congress Party,190934,146839,76.9 %,20029,13.6%
Santhanuthalapadu ,107,SC,https://www.indiavotes.com/district/ac/272/,T.J.R. Sudhakar Babu,Yuvajana Sramika Rythu Congress Party,211549,178656,84.5 %,9078,5.1%
Sarvepalli,119,GEN,https://www.indiavotes.com/district/ac/272/,Kakani Govardhan Reddy,Yuvajana Sramika Rythu Congress Party,230412,186610,81.0 %,13973,7.5%
Sattenapalli,98,GEN,https://www.indiavotes.com/district/ac/272/,Ambati Rambabu,Yuvajana Sramika Rythu Congress Party,231022,202487,87.6 %,20876,10.3%
Satyavedu ,169,SC,East Godavari,Adimulam Koneti,Yuvajana Sramika Rythu Congress Party,202826,172767,85.2 %,44744,25.9%
Singanamala ,152,SC,Visakhapatnam,Padmavathy Jonnalagadda,Yuvajana Sramika Rythu Congress Party,235429,195126,82.9 %,46242,23.7%
Srikakulam,5,GEN,https://www.indiavotes.com/district/ac/272/,Dharmana Prasada Rao,Yuvajana Sramika Rythu Congress Party,256201,174215,68.0 %,5777,3.3%
Srikalahasti,168,GEN,East Godavari,Madhusudhan Reddy Biyyapu,Yuvajana Sramika Rythu Congress Party,237735,194325,81.7 %,38141,19.6%
Srisailam,135,GEN,Vizianagaram,Silpa Chakrapani Reddy,Yuvajana Sramika Rythu Congress Party,185179,151208,81.7 %,38698,25.6%
Srungavarapukota,19,GEN,https://www.indiavotes.com/district/ac/272/,Kadubandi Srinivasa Rao,Yuvajana Sramika Rythu Congress Party,213382,180265,84.5 %,11365,6.3%
Sullurpeta ,121,SC,Srikakulam,Kiliveti Sanjeevaiah,Yuvajana Sramika Rythu Congress Party,231672,188938,81.6 %,61292,32.4%
Tadepalligudem,62,GEN,https://www.indiavotes.com/district/ac/272/,Kottu Satyanarayana,Yuvajana Sramika Rythu Congress Party,208771,165972,79.5 %,16466,9.9%
